No,Title,Slug,File,Category,Status,Target Keyword,Primary Argument,Primary Citation,Word Count (approx),Has FAQ,Publish Order Notes
1,"You Spend the First 20 Minutes of Every AI Session Explaining What You Already Know",twenty-minutes,01-twenty-minutes.md,individuals,Ready,"AI session context","Bottleneck is continuity not capability","Karpathy 'Software 2.0' (2017); r/UXDesign community",1300,Yes,Publish first — sets up the problem
2,"Why Designers Get Less From AI Than Developers Do — And What That Says About the Industry",designers-vs-developers-ai,02-designers-vs-developers.md,individuals,Ready,"AI for designers","The AI gap is a data structure problem not a capability problem","Worklytics 2025 (2x adoption ratio); Karpathy 'Software 2.0'",1050,Yes,Publish 2nd — deepens the diagnosis
3,"Figma AI Is Not Going to Save Your Workflow",figma-ai-wont-save-workflow,03-figma-ai.md,individuals,Ready,"Figma AI limitations","Tool-level AI doesn't compound across tools","Config 2024 / Dylan Field; designer community threads",1000,Yes,Publish 3rd — names the most visible false solution
4,"Claude Just Got Memory. Here's Why That's Not Enough for Your Studio",claude-memory-not-enough,04-claude-memory.md,individuals,Ready,"Claude memory feature","Individual memory ≠ shared project context","Anthropic memory launch (late 2024)",950,Yes,Publish 4th — closes off the second false solution
5,"The Handoff Is Where Design Work Goes to Die",design-handoff-context,05-handoff.md,teams,Ready,"design handoff context","Handoffs fail because context isn't portable","Paul Adams on design ops at Intercom",1000,Yes,Publish 5th — shifts to team-level consequences
6,"The Standup Is a Symptom Not a Solution",standup-symptom,06-standup.md,teams,Ready,"daily standup meeting async","Context layer replaces standups for AI-native teams","Fried/DHH 'It Doesn't Have to Be Crazy at Work' (2018); GitLab Remote Playbook",950,Yes,Publish 6th — another institutional symptom
7,"Accumulation vs. Acceleration: The Two Ways AI Can Help Your Studio",accumulation-vs-acceleration,07-accumulation-acceleration.md,teams,Ready,"AI competitive advantage design studios","Studios that accumulate context win over studios that only accelerate","Adir Duchan (May 2026); OpenAI o1 release (2024)",1000,Yes,Publish 7th — reframes the strategic choice
8,"What Does It Actually Mean for AI to 'Know Your Project'?",ai-know-your-project,08-know-your-project.md,product,Ready,"AI project context","'Knows the project' is a product spec with six layers — none fully shipped","Simon Willison (simonwillison.net); Claude 200k context window",1100,Yes,Publish 8th — makes the solution concrete
9,"Your Junior Designer Has Better AI Habits Than Your Creative Director. Here's Why That's a Problem.",junior-senior-ai-habits,09-junior-senior.md,individuals,Ready,"AI adoption by seniority designers","The AI expertise inversion is a product problem not a user problem","NNG 2025; BCG AI at Work 2024-2025",1100,Yes,Publish 9th — reframes who the real user is
10,"One Keystroke. Here's What the Next Five Minutes of Design Work Actually Look Like.",one-keystroke,10-one-keystroke.md,product,Ready,"AI design workflow","Pure narrative: this is what work should feel like","No external citations — the product speaks",650,No — intentional,"Publish last — the emotional payoff after 9 intellectual arguments"
