Section,Theme,Hypotheses,Timing (min),Type,Question,Response,Key quote,Signal (validates/falsifies/surprise),Would-pay marker (Y/N)
Intro,—,—,2,Consent,"Can I record this? I'd use anonymized quotes in investor materials — name/company omitted by default; title/role OK unless you say otherwise.",,,,
Intro,—,—,2,Anchor,"Quick setup — your role, team size, and roughly what % of your work involves AI tools right now.",,,,
Memory — yours and your team's,A+B,"H1, H2, H3, H6, H7, H11, H12",3,Anchor,"Tell me about a recent AI session you wish was still open — or that you had to restart from scratch. What happened? What got lost?",,,,
Memory — yours and your team's,A+B,"H1, H2, H3, H6, H7, H11, H12",2,Probe,"Who on your team knows what you just did with AI? How does that knowledge travel across people — or does it?",,,,
Memory — yours and your team's,A+B,"H1, H2, H3, H6, H7, H11, H12",2,Counter-probe,"Do Claude Projects, ChatGPT memory, Cursor rules, or a shared Notion already cover this for you? Where does it break?",,,,
How the team actually runs,C,"H4, H8, H9",2,Anchor,"Does your team have a *named* process for AI-assisted work? What do you call it? (Listen for: ""not really"", ""kind of Agile"", ""we're figuring it out"".)",,,,
How the team actually runs,C,"H4, H8, H9",3,Probe,"Walk me through a time your existing process — Agile, sprints, Shape Up, whatever — felt *off* because AI moved faster (or slower) than the rhythm it was built for.",,,,
How the team actually runs,C,"H4, H8, H9",2,Probe,"If I said 'Fish model — Head explores, Body builds, Tail ships, and every task is sized bigger-vs-smaller × known-vs-unknown' — does any part of that vocabulary map to something missing in your world?",,,,
How the team actually runs,C,"H4, H8, H9",1,Counter-probe,"Is Agile-with-AI basically fine for you, just faster? What would have to change for you to switch frameworks?",,,,
Install + trust,D+E,"H5, H10, H11",2,Anchor,"Walk me through the last AI tool you tried to install on your work machine. What happened?",,,,
Install + trust,D+E,"H5, H10, H11",2,Probe,"When something AI-powered lands on your machine, what runs through your head — permissions, data, what it's watching, where things go?",,,,
Install + trust,D+E,"H5, H10, H11",1,Probe,"Does anyone on your team use personal Claude or ChatGPT accounts for work? Why? (Ask casually — surfaces shadow AI without judgment.)",,,,
Install + trust,D+E,"H5, H10, H11",1,Counter-probe,"Is install actually the blocker, or is it something else — time, priority, permission from IT?",,,,
The pain you'd pay to fix,—,—,3,Anchor,"What pain in your AI workflow would you pay — actual money, not 'I'd try it' — to make go away?",,,,
The pain you'd pay to fix,—,—,1,Probe,"What should I have asked that I didn't? What AI-workflow pain did none of my questions touch?",,,,
Close,—,—,1,Close,"Ask for 1 referral — one design leader or hands-on practitioner who should be in this research.",,,,
Close,—,—,1,Close,"Confirm anonymization preferences — name/company omitted, title/role OK, or fully anonymous quotes.",,,,
